id;ART1028_grau__minimum;ART1028_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;"ART1028_grau__fft_coefficient__coeff_0__attr_""real""";ART1028_grau__maximum;ART1028_grau__mean;ART1028_grau__median;ART1028_grau__quantile__q_0.1;ART1028_grau__quantile__q_0.2;ART1028_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;ART1028_grau__quantile__q_0.3;ART1028_grau__quantile__q_0.4;ART1028_grau__quantile__q_0.6;ART1028_grau__quantile__q_0.7;ART1028_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;ART1028_grau__quantile__q_0.8;ART1028_grau__quantile__q_0.9;ART1028_grau__sum_values;ART1028_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;ARQ1000_grau__value_count__value_0;ARQ1101_grau__value_count__value_0;"CRE1100_grau__fft_coefficient__coeff_0__attr_""abs""";CRE1100_grau__abs_energy;ART1020_grau__value_count__value_0;"ART1028_grau__fft_coefficient__coeff_0__attr_""angle""";ART1420_grau__value_count__value_0;ARQ1000_grau__abs_energy;"ARQ1000_grau__fft_coefficient__coeff_0__attr_""abs""";ARQ1000_grau__median;ARQ1000_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;ARQ1000_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;ARQ1000_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;"ARQ1000_grau__fft_coefficient__coeff_0__attr_""real""";ARQ1000_grau__maximum;ARQ1000_grau__mean;ARQ1000_grau__minimum;ARQ1000_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;ARQ1000_grau__quantile__q_0.1;ARQ1000_grau__quantile__q_0.3;ARQ1000_grau__quantile__q_0.4;ARQ1000_grau__quantile__q_0.6;ARQ1000_grau__quantile__q_0.7;ARQ1000_grau__quantile__q_0.8;ARQ1000_grau__quantile__q_0.9;ARQ1000_grau__sum_values;ARQ1000_grau__quantile__q_0.2;MAT1071_grau__value_count__value_0;"CRE1100_grau__fft_coefficient__coeff_0__attr_""angle""";MAT1071_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;MAT1071_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;MAT1071_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;MAT1071_grau__maximum;"MAT1071_grau__fft_coefficient__coeff_0__attr_""real""";MAT1071_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;MAT1071_grau__mean;MAT1071_grau__median;MAT1071_grau__sum_values;MAT1071_grau__quantile__q_0.9;MAT1071_grau__quantile__q_0.8;MAT1071_grau__quantile__q_0.7;MAT1071_grau__quantile__q_0.6;MAT1071_grau__quantile__q_0.4;MAT1071_grau__quantile__q_0.3;MAT1071_grau__quantile__q_0.2;MAT1071_grau__quantile__q_0.1;MAT1071_grau__minimum;"CRE1100_grau__fft_coefficient__coeff_0__attr_""real""";CRE1100_grau__quantile__q_0.8;CRE1100_grau__quantile__q_0.9;CRE1100_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;CRE1100_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;CRE1100_grau__median;CRE1100_grau__minimum;CRE1100_grau__quantile__q_0.1;CRE1100_grau__quantile__q_0.2;CRE1100_grau__quantile__q_0.3;CRE1100_grau__quantile__q_0.4;CRE1100_grau__quantile__q_0.6;CRE1100_grau__quantile__q_0.7;CRE1100_grau__sum_values;CRE1100_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;CRE1100_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;CRE1100_grau__mean;CRE1100_grau__maximum;MAT1071_grau__abs_energy;"MAT1071_grau__fft_coefficient__coeff_0__attr_""abs""";ARQ1101_grau__abs_energy;"ARQ1101_grau__fft_coefficient__coeff_0__attr_""abs""";CRE1100_grau__value_count__value_0;ART1020_grau__abs_energy;"ART1020_grau__fft_coefficient__coeff_0__attr_""abs""";"ARQ1101_grau__fft_coefficient__coeff_0__attr_""real""";ARQ1101_grau__quantile__q_0.8;ARQ1101_grau__quantile__q_0.6;ARQ1101_grau__quantile__q_0.9;ARQ1101_grau__sum_values;ARQ1101_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;ARQ1101_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;ARQ1101_grau__quantile__q_0.4;ARQ1101_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;ARQ1101_grau__quantile__q_0.3;ARQ1101_grau__quantile__q_0.1;ARQ1101_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;ARQ1101_grau__quantile__q_0.7;ARQ1101_grau__minimum;ARQ1101_grau__median;ARQ1101_grau__mean;ARQ1101_grau__maximum;ARQ1101_grau__quantile__q_0.2;ART1020_grau__quantile__q_0.9;ART1020_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;ART1020_grau__quantile__q_0.1;ART1020_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;ART1020_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;ART1020_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;"ART1020_grau__fft_coefficient__coeff_0__attr_""real""";ART1020_grau__maximum;ART1020_grau__mean;ART1020_grau__median;ART1020_grau__minimum;ART1020_grau__sum_values;ART1020_grau__quantile__q_0.2;ART1020_grau__quantile__q_0.3;ART1020_grau__quantile__q_0.4;ART1020_grau__quantile__q_0.6;ART1020_grau__quantile__q_0.7;ART1020_grau__quantile__q_0.8;ART1420_grau__abs_energy;"ART1420_grau__fft_coefficient__coeff_0__attr_""abs""";ART1028_grau__value_count__value_0;ART1420_grau__quantile__q_0.6;ART1420_grau__quantile__q_0.9;"ART1420_grau__fft_coefficient__coeff_0__attr_""real""";ART1420_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5;ART1420_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20;ART1420_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2;ART1420_grau__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10;ART1420_grau__median;ART1420_grau__maximum;ART1420_grau__minimum;ART1420_grau__quantile__q_0.2;ART1420_grau__quantile__q_0.3;ART1420_grau__quantile__q_0.4;ART1420_grau__sum_values;ART1420_grau__quantile__q_0.7;ART1420_grau__quantile__q_0.8;ART1420_grau__quantile__q_0.1;ART1420_grau__mean
aluno1669;0.6;0.23272773796989604;0.6;0.6;0.6;0.6;0.6;0.6;0.11636386898494802;0.6;0.6;0.6;0.6;0.3679748633418613;0.6;0.6;0.6;0.16456336168871946;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5184;0.72;0.72;0.4415698360102336;0.13963664278193763;0.27927328556387526;0.72;0.72;0.72;0.72;0.19747603402646333;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.0;180.0;0.09696989082079002;0.19393978164158004;0.3066457194515511;0.5;0.5;0.13713613474059955;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.25;0.5;0.3844;0.62;0.0;0.8649000000000001;0.93;0.62;0.62;0.62;0.62;0.62;0.17004880707834344;0.3802406921199234;0.62;0.24048532923555926;0.62;0.62;0.12024266461777963;0.62;0.62;0.62;0.62;0.62;0.62;0.93;0.3607279938533389;0.93;0.25507321061751514;0.5703610381798851;0.18036399692666946;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.81;0.9;0.0;0.9;0.9;0.9;0.3490916069548441;0.17454580347742205;0.551962295012792;0.24684504253307918;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
aluno167;0.16999999999999998;0.0659395257581372;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.0329697628790686;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.10425954461352736;0.16999999999999998;0.16999999999999998;0.16999999999999998;0.04662628581180384;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.48999999999999994;0.7;0.7;0.42930400723217155;0.13575784714910602;0.27151569429821204;0.7;0.7;0.7;0.7;0.19199058863683935;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.0;180.0;0.10278808427003742;0.20557616854007485;0.32504446261864417;0.53;0.53;0.14536430282503554;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.28090000000000004;0.53;0.28090000000000004;0.53;0.0;0.81;0.9;0.53;0.53;0.53;0.53;0.53;0.14536430282503554;0.32504446261864417;0.53;0.20557616854007485;0.53;0.53;0.10278808427003742;0.53;0.53;0.53;0.53;0.53;0.53;0.9;0.3490916069548441;0.9;0.24684504253307918;0.551962295012792;0.17454580347742205;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.7744000000000002;0.8800000000000001;0.0;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.3413340156891809;0.17066700784459046;0.53969646623473;0.24135959714345523;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001
aluno1670;0.6799999999999999;0.2637581030325488;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.1318790515162744;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.41703817845410945;0.6799999999999999;0.6799999999999999;0.6799999999999999;0.18650514324721537;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.7224999999999999;0.85;0.85;0.5212977230676369;0.16484881439534305;0.3296976287906861;0.85;0.85;0.85;0.85;0.23313142905901924;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.0;180.0;0.18424279255950105;0.3684855851190021;0.5826268669579471;0.95;0.95;0.2605586560071391;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.9025;0.95;0.4355999999999999;0.6599999999999999;0.0;0.6084;0.78;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.18101969785759137;0.4047723496760474;0.6599999999999999;0.25600051176688565;0.6599999999999999;0.6599999999999999;0.12800025588344283;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.78;0.30254605936086487;0.78;0.21393237019533531;0.47836732234441975;0.15127302968043244;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.2601;0.51;0.0;0.51;0.51;0.51;0.19781857727441166;0.09890928863720583;0.31277863384058213;0.13987885743541154;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51
aluno1671;0.51;0.19781857727441166;0.51;0.51;0.51;0.51;0.51;0.51;0.09890928863720583;0.51;0.51;0.51;0.51;0.31277863384058213;0.51;0.51;0.51;0.13987885743541154;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.6889000000000001;0.8300000000000001;0.8300000000000001;0.5090318942895748;0.16097001876251146;0.3219400375250229;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.22764598366939526;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.0;180.0;0.15515182531326405;0.3103036506265281;0.4906331511224818;0.8;0.8;0.2194178155849593;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.6400000000000001;0.8;0.25;0.5;0.0;0.5625;0.75;0.5;0.5;0.5;0.5;0.5;0.13713613474059955;0.3066457194515511;0.5;0.19393978164158004;0.5;0.5;0.09696989082079002;0.5;0.5;0.5;0.5;0.5;0.5;0.75;0.2909096724623701;0.75;0.20570420211089932;0.4599685791773267;0.14545483623118505;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.2916;0.54;0.0;0.54;0.54;0.54;0.20945496417290646;0.10472748208645323;0.33117737700767524;0.14810702551984753;0.54;0.54;0.54;0.54;0.54;0.54;0.54;0.54;0.54;0.54;0.54
aluno1672;0.75;0.2909096724623701;0.75;0.75;0.75;0.75;0.75;0.75;0.14545483623118505;0.75;0.75;0.75;0.75;0.4599685791773267;0.75;0.75;0.75;0.20570420211089932;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5476;0.74;0.74;0.4538356647882956;0.14351543841476924;0.2870308768295385;0.74;0.74;0.74;0.74;0.20296147941608733;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.0;180.0;0.07175771920738462;0.14351543841476924;0.2269178323941478;0.37;0.37;0.10148073970804367;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.1369;0.37;0.42250000000000004;0.65;0.0;1.0;1.0;0.65;0.65;0.65;0.65;0.65;0.1782769751627794;0.39863943528701645;0.65;0.25212171613405404;0.65;0.65;0.12606085806702702;0.65;0.65;0.65;0.65;0.65;0.65;1.0;0.3878795632831601;1.0;0.2742722694811991;0.6132914389031022;0.19393978164158004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4096;0.64;0.0;0.64;0.64;0.64;0.24824292050122246;0.12412146025061123;0.39250652089798543;0.17553425246796742;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
aluno1673;0.89;0.3452128113220125;0.89;0.89;0.89;0.89;0.89;0.89;0.17260640566100624;0.89;0.89;0.89;0.89;0.545829380623761;0.89;0.89;0.89;0.2441023198382672;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.7395999999999999;0.86;0.86;0.527430637456668;0.16678821221175882;0.33357642442351765;0.86;0.86;0.86;0.86;0.23587415175383122;0.86;0.86;0.86;0.86;0.86;0.86;0.86;0.86;0.86;0.0;180.0;0.14545483623118505;0.2909096724623701;0.4599685791773267;0.75;0.75;0.20570420211089932;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.5625;0.75;0.6560999999999999;0.8099999999999999;0.0;0.81;0.9;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.22216053827977125;0.49676606551151276;0.8099999999999999;0.31418244625935965;0.8099999999999999;0.8099999999999999;0.15709122312967982;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.9;0.3490916069548441;0.9;0.24684504253307918;0.551962295012792;0.17454580347742205;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;1.0;1.0;0.0;1.0;1.0;1.0;0.3878795632831601;0.19393978164158004;0.6132914389031022;0.2742722694811991;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
aluno1674;0.65;0.25212171613405404;0.65;0.65;0.65;0.65;0.65;0.65;0.12606085806702702;0.65;0.65;0.65;0.65;0.39863943528701645;0.65;0.65;0.65;0.1782769751627794;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.7395999999999999;0.86;0.86;0.527430637456668;0.16678821221175882;0.33357642442351765;0.86;0.86;0.86;0.86;0.23587415175383122;0.86;0.86;0.86;0.86;0.86;0.86;0.86;0.86;0.86;0.0;180.0;0.12606085806702702;0.25212171613405404;0.39863943528701645;0.65;0.65;0.1782769751627794;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.42250000000000004;0.65;0.5625;0.75;0.0;0.6084;0.78;0.75;0.75;0.75;0.75;0.75;0.20570420211089932;0.4599685791773267;0.75;0.2909096724623701;0.75;0.75;0.14545483623118505;0.75;0.75;0.75;0.75;0.75;0.75;0.78;0.30254605936086487;0.78;0.21393237019533531;0.47836732234441975;0.15127302968043244;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.4489000000000001;0.67;0.0;0.67;0.67;0.67;0.25987930739971726;0.12993965369985863;0.4109052640650785;0.1837624205524034;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67
aluno1675;0.6;0.23272773796989604;0.6;0.6;0.6;0.6;0.6;0.6;0.11636386898494802;0.6;0.6;0.6;0.6;0.3679748633418613;0.6;0.6;0.6;0.16456336168871946;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.3844;0.62;0.62;0.3802406921199234;0.12024266461777963;0.24048532923555926;0.62;0.62;0.62;0.62;0.17004880707834344;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.0;180.0;0.12024266461777963;0.24048532923555926;0.3802406921199234;0.62;0.62;0.17004880707834344;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.3844;0.62;0.48999999999999994;0.7;0.0;0.81;0.9;0.7;0.7;0.7;0.7;0.7;0.19199058863683935;0.42930400723217155;0.7;0.27151569429821204;0.7;0.7;0.13575784714910602;0.7;0.7;0.7;0.7;0.7;0.7;0.9;0.3490916069548441;0.9;0.24684504253307918;0.551962295012792;0.17454580347742205;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.3844;0.62;0.0;0.62;0.62;0.62;0.24048532923555926;0.12024266461777963;0.3802406921199234;0.17004880707834344;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62
aluno1676;0.6599999999999999;0.25600051176688565;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.12800025588344283;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.4047723496760474;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.18101969785759137;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.6560999999999999;0.8099999999999999;0.8099999999999999;0.49676606551151276;0.15709122312967982;0.31418244625935965;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.22216053827977125;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.8099999999999999;0.0;180.0;0.16484881439534305;0.3296976287906861;0.5212977230676369;0.85;0.85;0.23313142905901924;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.7224999999999999;0.85;0.5184;0.72;0.0;0.7224999999999999;0.85;0.72;0.72;0.72;0.72;0.72;0.19747603402646333;0.4415698360102336;0.72;0.27927328556387526;0.72;0.72;0.13963664278193763;0.72;0.72;0.72;0.72;0.72;0.72;0.85;0.3296976287906861;0.85;0.23313142905901924;0.5212977230676369;0.16484881439534305;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.8836000000000002;0.9400000000000001;0.0;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.3646067894861705;0.18230339474308524;0.5764939525689161;0.25781593331232716;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001;0.9400000000000001
aluno1677;0.5;0.19393978164158004;0.5;0.5;0.5;0.5;0.5;0.5;0.09696989082079002;0.5;0.5;0.5;0.5;0.3066457194515511;0.5;0.5;0.5;0.13713613474059955;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.6400000000000001;0.8;0.8;0.4906331511224818;0.15515182531326405;0.3103036506265281;0.8;0.8;0.8;0.8;0.2194178155849593;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.0;180.0;0.14545483623118505;0.2909096724623701;0.4599685791773267;0.75;0.75;0.20570420211089932;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.5625;0.75;0.4489000000000001;0.67;0.0;0.6889000000000001;0.8300000000000001;0.67;0.67;0.67;0.67;0.67;0.1837624205524034;0.4109052640650785;0.67;0.25987930739971726;0.67;0.67;0.12993965369985863;0.67;0.67;0.67;0.67;0.67;0.67;0.8300000000000001;0.3219400375250229;0.8300000000000001;0.22764598366939526;0.5090318942895748;0.16097001876251146;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.8300000000000001;0.4355999999999999;0.6599999999999999;0.0;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.25600051176688565;0.12800025588344283;0.4047723496760474;0.18101969785759137;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999;0.6599999999999999
aluno1678;0.6900000000000001;0.2676368986653805;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.13381844933269024;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.4231710928431406;0.6900000000000001;0.6900000000000001;0.6900000000000001;0.1892478659420274;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5776;0.76;0.76;0.4661014935663577;0.14739423404760083;0.29478846809520165;0.76;0.76;0.76;0.76;0.2084469248057113;0.76;0.76;0.76;0.76;0.76;0.76;0.76;0.76;0.76;0.0;180.0;0.17454580347742205;0.3490916069548441;0.551962295012792;0.9;0.9;0.24684504253307918;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.81;0.9;0.5041;0.71;0.0;0.6400000000000001;0.8;0.71;0.71;0.71;0.71;0.71;0.19473331133165134;0.43543692162120257;0.71;0.27539448993104365;0.71;0.71;0.13769724496552183;0.71;0.71;0.71;0.71;0.71;0.71;0.8;0.3103036506265281;0.8;0.2194178155849593;0.4906331511224818;0.15515182531326405;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.3364;0.58;0.0;0.58;0.58;0.58;0.22497014670423285;0.11248507335211642;0.35570903456379926;0.15907791629909546;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
aluno1679;0.89;0.3452128113220125;0.89;0.89;0.89;0.89;0.89;0.89;0.17260640566100624;0.89;0.89;0.89;0.89;0.545829380623761;0.89;0.89;0.89;0.2441023198382672;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5776;0.76;0.76;0.4661014935663577;0.14739423404760083;0.29478846809520165;0.76;0.76;0.76;0.76;0.2084469248057113;0.76;0.76;0.76;0.76;0.76;0.76;0.76;0.76;0.76;0.0;180.0;0.17454580347742205;0.3490916069548441;0.551962295012792;0.9;0.9;0.24684504253307918;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;-1.0;-1.0;-1.0;-0.6132914389031022;-0.2742722694811991;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.19393978164158004;-0.3878795632831601;-1.0;-1.0;0.81;0.9;0.7744000000000002;0.8800000000000001;0.0;1.0;1.0;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.24135959714345523;0.53969646623473;0.8800000000000001;0.3413340156891809;0.8800000000000001;0.8800000000000001;0.17066700784459046;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;0.8800000000000001;1.0;0.3878795632831601;1.0;0.2742722694811991;0.6132914389031022;0.19393978164158004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5184;0.72;0.0;0.72;0.72;0.72;0.27927328556387526;0.13963664278193763;0.4415698360102336;0.19747603402646333;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72
